NMec = 2020
T = 64
P = 1
Profits ignored
Valid tasks: 0
Solution time = 3.680e-002
Task data
    1  11     1 0
    7  14     1 -1
   22  28     1 0
   25  28     1 -1
   50  53     1 0
   45  69     1 -1
   59  78     1 0
   75  86     1 -1
   73  98     1 -1
   89  98     1 0
  105 129     1 0
   60 132     1 -1
  127 146     1 -1
  134 146     1 0
  171 198     1 0
  212 218     1 0
  230 232     1 0
  232 246     1 -1
  239 260     1 0
  255 265     1 -1
  277 290     1 0
   46 302     1 -1
  279 302     1 -1
  294 305     1 0
  301 309     1 -1
  297 314     1 -1
  327 337     1 0
  329 355     1 -1
  373 380     1 0
  361 381     1 -1
  162 389     1 -1
  368 391     1 -1
  389 400     1 0
  381 403     1 -1
  392 410     1 -1
  411 417     1 0
  411 418     1 -1
  412 423     1 -1
  427 431     1 0
  416 434     1 -1
  432 435     1 0
  418 436     1 -1
  420 436     1 -1
  430 455     1 -1
  436 460     1 0
  450 461     1 -1
  440 466     1 -1
   63 468     1 -1
   64 477     1 -1
  482 496     1 0
  370 501     1 -1
  494 503     1 -1
  515 525     1 0
  525 527     1 -1
  532 537     1 0
  539 548     1 0
  548 563     1 -1
  485 571     1 -1
  568 575     1 0
  578 588     1 0
  584 595     1 -1
  618 627     1 0
  609 635     1 -1
  628 635     1 0
Best profit: 28
End
