NMec = 95584
T = 9
P = 8
Profits not ignored
Valid tasks:                                                              512
Solution time = 2.911e-05
Task data
    0   9  2000 0
    0  28  3756 1
    1  28  4660 2
    2  10   811 3
    5  28  2711 4
    6  13  1104 5
    9  15  1013 6
   11  23  2635 0
   14  29  4484 3
Best profit: 23174
All profits:
0 1
811 1
1013 1
1104 1
1824 1
1915 1
2000 1
2117 1
2635 1
2711 1
2811 1
2928 1
3013 1
3104 1
3446 1
3522 1
3648 1
3724 1
3739 1
3756 1
3815 1
3824 1
3915 1
4117 1
4459 1
4484 1
4535 1
4550 1
4567 1
4626 1
4635 1
4660 1
4711 1
4752 1
4769 1
4828 1
4860 1
4928 1
5295 1
5346 1
5446 1
5471 1
5497 1
5522 1
5563 1
5580 1
5588 1
5639 1
5648 1
5671 1
5673 1
5724 1
5739 1
5756 1
5764 1
5815 1
5873 1
6157 1
6308 1
6359 1
6391 1
6399 1
6450 1
6459 1
6467 1
6484 2
6535 1
6550 1
6567 1
6575 1
6601 1
6626 1
6660 1
6684 1
6752 1
6769 1
6777 1
6828 1
6860 1
7119 1
7170 1
7195 1
7202 1
7261 1
7278 1
7295 2
7346 1
7371 1
7404 1
7412 1
7463 1
7471 1
7480 1
7495 1
7497 1
7563 1
7571 1
7580 1
7588 2
7639 1
7671 1
7673 1
7764 1
7873 1
7930 1
8006 1
8106 1
8132 1
8157 1
8182 1
8208 1
8215 1
8223 1
8240 1
8274 1
8291 1
8299 1
8306 1
8308 2
8359 1
8382 1
8384 1
8391 1
8399 2
8416 1
8450 1
8467 1
8475 1
8484 1
8508 1
8575 1
8584 1
8601 1
8684 1
8777 1
8943 1
9019 1
9034 1
9051 1
9102 1
9110 1
9119 2
9144 1
9170 1
9195 2
9202 1
9210 1
9227 1
9236 1
9253 1
9261 1
9278 1
9286 1
9295 1
9312 1
9319 1
9344 1
9371 1
9395 1
9404 1
9412 2
9429 1
9463 1
9480 1
9488 1
9495 1
9520 1
9571 1
9588 1
9830 1
9913 1
9930 1
9955 1
10006 2
10047 1
10064 1
10106 1
10115 1
10123 1
10132 1
10155 1
10157 1
10182 1
10206 1
10208 1
10215 1
10223 2
10240 2
10248 1
10274 1
10291 1
10299 2
10306 1
10308 1
10331 1
10357 1
10382 1
10384 1
10399 1
10416 1
10475 1
10508 1
10533 1
10584 1
10641 1
10817 1
10843 1
10875 1
10926 1
10934 1
10943 1
10951 1
10968 1
11017 1
11019 2
11034 1
11051 2
11059 1
11102 1
11110 2
11119 1
11127 1
11144 1
11168 1
11195 1
11210 1
11219 1
11227 1
11236 1
11253 1
11261 1
11286 1
11312 1
11319 1
11344 2
11395 1
11412 1
11429 1
11488 1
11520 1
11654 1
11686 1
11745 1
11762 1
11779 1
11830 2
11855 1
11862 1
11888 1
11913 1
11921 1
11938 1
11947 1
11955 1
11964 1
11979 1
12006 1
12030 1
12047 1
12055 1
12064 2
12072 1
12115 1
12123 2
12140 1
12155 2
12157 1
12206 1
12223 1
12231 1
12240 1
12248 1
12299 1
12331 1
12357 1
12533 1
12590 1
12641 1
12666 1
12699 1
12758 1
12775 1
12790 1
12792 1
12817 1
12843 1
12866 1
12868 1
12875 2
12883 1
12900 1
12926 1
12934 2
12951 2
12959 1
12966 1
12968 1
12992 1
13017 1
13019 1
13042 1
13051 1
13059 1
13068 1
13110 1
13127 1
13168 2
13219 1
13244 1
13261 1
13344 1
13586 1
13603 1
13654 1
13679 1
13686 1
13694 1
13711 1
13745 1
13762 2
13770 1
13779 1
13803 1
13830 1
13855 1
13862 1
13879 1
13888 1
13896 1
13913 1
13921 1
13938 1
13947 1
13964 1
13972 1
13979 2
14004 1
14030 1
14055 2
14064 1
14072 1
14123 1
14140 1
14155 1
14231 1
14397 1
14490 1
14573 1
14590 1
14599 1
14666 1
14690 1
14699 1
14707 1
14724 1
14758 1
14775 2
14783 1
14790 1
14792 1
14815 1
14866 2
14868 1
14875 1
14883 1
14900 1
14934 1
14951 1
14959 1
14966 1
14992 1
15017 1
15042 1
15068 1
15168 1
15244 1
15301 1
15410 1
15501 1
15503 1
15535 1
15586 2
15594 1
15603 1
15611 1
15677 1
15679 1
15694 1
15703 1
15711 1
15762 1
15770 1
15803 1
15828 1
15879 2
15896 1
15913 1
15972 1
15979 1
16004 1
16055 1
16314 1
16346 1
16397 1
16405 1
16422 1
16490 1
16514 1
16548 1
16573 1
16599 1
16607 1
16624 1
16639 1
16690 2
16707 1
16715 1
16724 1
16775 1
16783 1
16815 1
16866 1
17017 1
17301 1
17359 1
17410 1
17418 1
17435 1
17450 1
17501 1
17503 1
17526 1
17535 1
17586 1
17594 1
17611 1
17652 1
17677 1
17703 1
17728 1
17828 1
17879 1
18246 1
18314 1
18346 1
18405 1
18422 1
18463 1
18514 1
18539 1
18548 1
18607 1
18624 1
18639 1
18690 1
18715 1
19057 1
19259 1
19350 1
19359 1
19418 1
19435 1
19450 1
19526 1
19652 1
19728 1
20070 1
20161 1
20246 1
20363 1
20463 1
20539 1
21057 1
21174 1
21259 1
21350 1
22070 1
22161 1
22363 1
End
