NMec = 95584
T = 13
P = 3
Profits not ignored
Valid tasks:                                                             2228
Solution time = 5.891e-05
Task data
    0  19  2524 0
    1  14  1749 1
    3  12  1445 -1
    5  22  2343 2
    7  18  1009 -1
    8  26  1280 -1
   12  18  1172 -1
   15  39  2806 1
   17  33  2609 -1
   23  38  3475 0
   26  33  1215 -1
   28  43  2342 2
   31  33   435 -1
Best profit: 15239
All profits:
0 1
435 1
1009 1
1172 1
1215 1
1280 1
1444 1
1445 1
1607 1
1650 1
1715 1
1749 1
1880 1
2181 1
2184 1
2224 1
2289 1
2342 1
2343 1
2387 1
2452 1
2454 1
2495 1
2524 1
2609 1
2616 1
2617 1
2659 1
2660 1
2724 1
2725 1
2758 1
2777 1
2778 1
2806 1
2822 1
2887 1
2889 1
2921 1
2930 1
2959 1
2964 1
3029 1
3044 1
3052 1
3095 1
3160 1
3193 1
3194 1
3241 1
3351 1
3352 1
3356 1
3396 1
3399 1
3461 1
3464 1
3475 1
3504 1
3514 1
3515 1
3533 1
3557 1
3558 1
3618 1
3622 1
3623 1
3626 1
3629 1
3667 1
3669 1
3696 1
3734 1
3739 1
3781 1
3786 1
3787 2
3788 1
3804 1
3815 1
3824 1
3831 1
3832 1
3889 1
3896 1
3897 1
3910 1
3930 1
3939 1
3940 1
3949 1
3950 1
3968 1
3969 1
3973 1
3978 1
3992 1
3993 1
4021 1
4038 1
4053 1
4054 1
4057 1
4058 1
4061 1
4086 1
4091 1
4092 1
4102 1
4104 1
4131 1
4136 1
4169 1
4174 1
4201 1
4203 1
4216 1
4222 1
4223 1
4239 1
4244 1
4250 1
4251 1
4259 1
4267 1
4273 1
4324 1
4332 1
4358 1
4365 1
4366 1
4375 1
4404 1
4408 1
4409 1
4413 1
4456 1
4473 1
4474 1
4484 1
4489 1
4521 1
4523 1
4524 1
4526 1
4527 1
4555 1
4566 1
4567 1
4571 1
4631 1
4632 1
4636 1
4638 1
4647 1
4676 1
4679 1
4685 1
4686 1
4690 1
4705 1
4708 1
4729 1
4730 1
4748 1
4755 1
4790 1
4793 1
4794 1
4795 1
4796 1
4797 1
4801 1
4813 1
4833 1
4837 1
4838 1
4841 1
4844 1
4866 1
4867 1
4898 1
4909 1
4911 1
4919 1
4920 1
4949 1
4951 1
4952 1
4958 1
4959 2
4960 1
4976 1
4978 1
4987 1
4990 1
4996 1
5001 1
5002 2
5003 1
5019 1
5030 1
5061 1
5063 1
5066 1
5067 2
5068 1
5082 1
5095 1
5100 1
5101 1
5104 1
5111 1
5112 1
5120 1
5125 1
5133 1
5140 1
5141 1
5145 1
5148 1
5149 1
5164 1
5165 1
5183 1
5184 1
5190 1
5193 1
5224 1
5225 1
5226 1
5229 1
5230 1
5231 1
5232 1
5248 1
5249 1
5253 1
5258 1
5260 1
5263 1
5264 1
5268 1
5269 1
5272 1
5273 1
5276 1
5282 1
5301 2
5302 1
5306 1
5307 1
5330 1
5333 1
5334 1
5346 1
5355 1
5367 1
5371 1
5372 1
5384 1
5386 1
5387 1
5394 1
5395 1
5411 1
5413 1
5415 1
5416 1
5418 1
5422 1
5423 1
5431 1
5437 1
5438 1
5445 1
5454 1
5465 1
5466 1
5488 1
5496 1
5498 1
5502 1
5503 1
5530 2
5531 1
5535 1
5536 2
5537 1
5539 1
5547 1
5553 1
5564 1
5568 1
5573 1
5576 1
5580 1
5581 1
5583 1
5584 1
5619 1
5628 1
5638 1
5656 1
5659 1
5661 1
5684 1
5688 1
5689 1
5693 1
5694 1
5695 1
5698 1
5699 2
5704 1
5717 1
5718 1
5727 1
5736 1
5738 1
5739 1
5741 1
5742 1
5764 1
5765 1
5769 1
5770 1
5802 1
5803 2
5806 1
5807 1
5817 1
5818 1
5835 1
5846 1
5847 1
5850 1
5851 1
5853 1
5857 1
5858 1
5862 1
5875 1
5876 1
5880 1
5900 1
5901 1
5920 1
5923 1
5927 1
5929 1
5960 1
5961 1
5965 2
5966 1
5968 1
5970 1
5971 1
5972 1
5988 1
5999 2
6000 1
6005 1
6008 1
6009 1
6010 1
6011 1
6012 1
6016 1
6028 1
6038 1
6039 1
6073 1
6076 1
6081 1
6082 1
6084 1
6091 1
6092 1
6113 1
6123 1
6124 2
6129 1
6130 1
6134 1
6135 1
6142 1
6146 1
6147 1
6153 1
6157 1
6158 1
6162 1
6166 1
6167 1
6173 1
6174 2
6175 1
6191 1
6193 1
6199 1
6200 1
6202 1
6205 1
6231 1
