NMec = 95584
T = 39
P = 1
Profits ignored
Valid tasks:                                                         33934464
Solution time = 5.727e-01
Task data
   14  17     1 -1
   14  27     1 0
   24  39     1 -1
   32  41     1 0
   43  66     1 -1
   48  54     1 0
   49  71     1 -1
   57  80     1 -1
   62  63     1 0
   66  78     1 -1
   66  84     1 -1
   71  80     1 -1
   75  85     1 0
   89 103     1 0
  100 147     1 -1
  108 123     1 0
  124 140     1 -1
  131 140     1 -1
  139 311     1 -1
  140 148     1 0
  154 156     1 0
  165 171     1 0
  199 221     1 -1
  215 236     1 -1
  219 237     1 -1
  220 226     1 0
  227 232     1 -1
  232 236     1 0
  251 274     1 -1
  258 265     1 0
  261 272     1 -1
  261 273     1 -1
  267 279     1 0
  290 316     1 -1
  295 300     1 0
  309 321     1 0
  327 339     1 0
  358 369     1 -1
  362 387     1 0
Best profit: 18
End
