NMec = 95584
T = 39
P = 3
Profits ignored
Valid tasks:                                                       1761861668
Solution time = 3.217e+01
Task data
    0  63     1 -1
    1  24     1 -1
    3  12     1 0
    6  80     1 -1
   10  30     1 1
   12  19     1 2
   23  47     1 -1
   23 124     1 -1
   28  44     1 -1
   30  76     1 -1
   31  48     1 0
   34  87     1 -1
   39  48     1 1
   44  46     1 2
   45  88     1 -1
   48  55     1 2
   50  55     1 0
   50  55     1 1
   57  65     1 0
   61  71     1 -1
   65  78     1 -1
   66  70     1 0
   69  79     1 -1
   69  82     1 1
   69 119     1 -1
   70  85     1 2
   72  81     1 0
   76  99     1 -1
   81 101     1 -1
   84  94     1 0
   85  91     1 1
   86  96     1 2
   93 111     1 -1
   94 110     1 -1
   95 116     1 -1
  100 106     1 0
  103 111     1 1
  109 129     1 0
  110 125     1 2
Best profit: 21
End
