NMec = 95584
T = 40
P = 3
Profits ignored
Valid tasks:                                                      12686919648
Solution time = 2.037e+02
Task data
    0   8     1 0
    1  86     1 -1
    2  22     1 -1
    9  19     1 0
   14  28     1 1
   16  26     1 2
   21  29     1 0
   22  46     1 -1
   25  37     1 -1
   28  37     1 2
   28 121     1 -1
   31  51     1 0
   36  38     1 1
   39  55     1 1
   44  47     1 2
   46  62     1 -1
   49  65     1 -1
   53  78     1 -1
   55  84     1 -1
   56  61     1 0
   57  63     1 1
   58  60     1 2
   63 115     1 -1
   70  87     1 0
   75  80     1 1
   81  89     1 1
   86  95     1 2
   87 108     1 -1
   94 115     1 -1
   97 108     1 -1
  101 118     1 -1
  102 110     1 0
  104 110     1 1
  105 119     1 2
  107 129     1 -1
  109 121     1 -1
  115 123     1 0
  121 127     1 1
  121 130     1 2
  129 132     1 0
Best profit: 24
End
