NMec = 95584
T = 29
P = 4
Profits not ignored
Valid tasks:                                                         18899584
Solution time = 2.943e+01
Task data
    0  69 13690 0
    1  18  2532 1
    2   8  1250 2
    4  36  3785 3
    5  12   577 -1
    5  30  3321 -1
   10  29  3735 2
   13  28  1235 -1
   15  24  2152 -1
   18  21   905 -1
   19  24   571 -1
   21  34  1094 -1
   21  41  2012 -1
   21  48  6944 1
   26  40  3177 -1
   27  43  2192 -1
   27  53  3681 -1
   31  50  4227 2
   38  52  4309 3
   39  47  1375 -1
   40  65  4932 -1
   42  50   797 -1
   48  54  1701 -1
   48  60  3156 -1
   52  64  2893 1
   52  66  2024 2
   54  69  1970 3
   60  62   656 -1
   64  72   864 -1
Best profit: 47359
End
