NMec = 95584
T = 29
P = 4
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 4.125e+00
Task data
    0  69 13690 0
    1  18  2532 1
    2   8  1250 -1
    4  36  3785 -1
    5  12   577 2
    5  30  3321 -1
   10  29  3735 3
   13  28  1235 -1
   15  24  2152 2
   18  21   905 -1
   19  24   571 -1
   21  34  1094 -1
   21  41  2012 -1
   21  48  6944 1
   26  40  3177 2
   27  43  2192 -1
   27  53  3681 -1
   31  50  4227 -1
   38  52  4309 3
   39  47  1375 -1
   40  65  4932 -1
   42  50   797 -1
   48  54  1701 -1
   48  60  3156 2
   52  64  2893 1
   52  66  2024 -1
   54  69  1970 3
   60  62   656 -1
   64  72   864 2
Best profit: 45999
End
