NMec = 95584
T = 37
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 7.364e+01
Task data
    5  10   671 0
    6   9   473 -1
   12  29  1400 -1
   22  30  1347 -1
   24  35  2854 0
   27  43  4216 1
   29  37  1084 -1
   30  36   692 -1
   30  38   958 -1
   30  44  1631 -1
   39  46   746 -1
   40  54  1805 0
   41  71  3569 -1
   47  68  4425 1
   49 118  6073 -1
   54  66  2376 -1
   63  71  1606 0
   64  88  3444 -1
   68  70   421 -1
   74  85  1655 -1
   74  93  2613 0
   83 103  2362 -1
   85 164 11306 1
   93 112  3891 -1
   95 113  2491 -1
   98 122  3029 -1
  101 115  2665 -1
  103 104   209 -1
  110 121  1833 0
  121 127  1535 -1
  125 139  3752 0
  127 130   446 -1
  127 136  1160 -1
  144 162  2090 -1
  147 163  4265 0
  161 171  1808 -1
  174 183   912 0
Best profit: 40258
End
