NMec = 97746
T = 37
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 2.475e-06
Task data
    1   9     1 0
    7  15     1 1
    8  20     1 32567
   12  22     1 0
   10  25     1 0
   20  30     1 1
   20  31     1 32765
   21  35     1 0
   23  36     1 0
   24  37     1 0
   32  45     1 1
   42  50     1 0
    6  52     1 -1
   42  54     1 -1768902672
   39  56     1 32567
   54  68     1 0
   68  80     1 1
   42  82     1 32765
   74  91     1 0
   72  97     1 0
   92  99     1 0
   79 104     1 32765
   86 111     1 1
  100 115     1 0
  107 121     1 0
  113 121     1 1
  110 128     1 1419134315
  109 129     1 0
  125 129     1 0
  131 140     1 0
  154 155     1 0
  152 157     1 1
  147 163     1 32567
  160 164     1 0
  165 171     1 0
  167 180     1 1
  166 181     1 0
Best profit: 21
End
