NMec = 97746
T = 51
P = 1
Profits ignored
Valid tasks:                                                                0
Solution time = 3.342e-05
Task data
   15  26     1 0
   33  57     1 0
   60  65     1 0
   72  83     1 0
   69  91     1 -1
   79  92     1 -1
  112 121     1 0
  103 124     1 -1
  116 134     1 -1
  133 148     1 0
  165 170     1 0
  186 198     1 0
  199 210     1 0
  207 216     1 -1
  196 220     1 -1
  220 228     1 0
  226 240     1 -1
  236 240     1 0
  227 242     1 -1
  240 249     1 -1
  248 249     1 0
  270 278     1 0
  277 284     1 -1
  280 288     1 0
  298 303     1 0
  298 320     1 -1
  315 322     1 0
  317 330     1 -1
  331 334     1 0
  332 334     1 -1
  328 337     1 -1
  330 341     1 -1
  329 353     1 -1
  352 360     1 0
  375 384     1 0
  383 391     1 -1
  385 394     1 0
  400 402     1 0
  403 412     1 0
  387 415     1 -1
    2 418     1 -1
  404 423     1 -1
  409 425     1 -1
  431 441     1 0
  429 442     1 -1
  439 460     1 -1
  453 463     1 0
  459 473     1 -1
  469 474     1 0
   49 497     1 -1
  492 505     1 0
Best profit: 26
End
