# bogo_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
       1 0.000e+000 1.000e-007 9.400e-009 2.918e-008
       2 0.000e+000 2.000e-007 6.200e-008 6.046e-008
       3 0.000e+000 9.000e-007 2.758e-007 2.222e-007
       4 1.000e-007 5.600e-006 1.601e-006 1.313e-006
       5 5.000e-007 3.820e-005 1.090e-005 9.206e-006
       6 3.400e-006 2.436e-004 7.166e-005 5.735e-005
       7 2.610e-005 2.117e-003 5.894e-004 4.787e-004
       8 3.109e-004 2.555e-002 6.612e-003 5.593e-003
       9 3.961e-003 2.996e-001 7.918e-002 6.639e-002
      10 3.934e-002 3.154e+000 9.087e-001 7.505e-001
#------- --------- --------- --------- ---------


