bubble_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	1,00E-07	2,00E-07	1,61E-07	4,88E-08
13	2,00E-07	3,00E-07	2,55E-07	4,98E-08
16	3,00E-07	5,00E-07	3,84E-07	5,16E-08
20	5,00E-07	7,00E-07	5,84E-07	6,04E-08
25	7,00E-07	1,00E-06	8,82E-07	7,40E-08
32	1,20E-06	1,50E-06	1,37E-06	9,10E-08
40	1,80E-06	2,30E-06	2,06E-06	1,14E-07
50	2,80E-06	3,40E-06	3,07E-06	1,40E-07
63	4,30E-06	5,10E-06	4,70E-06	2,00E-07
79	6,50E-06	7,70E-06	7,11E-06	2,76E-07
100	1,01E-05	1,18E-05	1,09E-05	4,12E-07
126	1,51E-05	1,76E-05	1,64E-05	6,24E-07
158	2,32E-05	2,64E-05	2,48E-05	7,80E-07
200	3,43E-05	3,86E-05	3,63E-05	1,04E-06
251	5,02E-05	5,51E-05	5,25E-05	1,12E-06
316	7,52E-05	8,63E-05	7,78E-05	1,39E-06
398	1,13E-04	1,24E-04	1,16E-04	1,84E-06
501	1,71E-04	1,87E-04	1,76E-04	3,42E-06
631	2,63E-04	2,81E-04	2,72E-04	3,67E-06
794	3,98E-04	4,38E-04	4,12E-04	7,94E-06
1000	6,14E-04	6,82E-04	6,34E-04	1,31E-05
1259	9,39E-04	1,07E-03	9,83E-04	2,36E-05
1585	1,47E-03	1,72E-03	1,54E-03	5,14E-05
1995	2,34E-03	2,72E-03	2,45E-03	7,56E-05
2512	3,83E-03	4,35E-03	3,99E-03	1,00E-04
3162	6,48E-03	7,13E-03	6,68E-03	1,20E-04
3981	1,13E-02	1,25E-02	1,17E-02	2,28E-04
5012	2,02E-02	2,18E-02	2,07E-02	3,57E-04
6310	3,56E-02	3,78E-02	3,63E-02	4,30E-04
7943	6,18E-02	6,51E-02	6,28E-02	6,47E-04
10000	1,06E-01	1,09E-01	1,07E-01	7,49E-04
#-------	---------	--------- -	-------- --	-------
				
				
shaker_sort				
n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	1,00E-07	2,00E-07	1,58E-07	4,94E-08
13	2,00E-07	3,00E-07	2,23E-07	4,18E-08
16	2,00E-07	4,00E-07	3,15E-07	4,36E-08
20	4,00E-07	5,00E-07	4,53E-07	4,99E-08
25	6,00E-07	8,00E-07	6,94E-07	6,67E-08
32	9,00E-07	1,20E-06	1,07E-06	8,11E-08
40	1,40E-06	1,80E-06	1,61E-06	1,06E-07
50	2,10E-06	2,70E-06	2,41E-06	1,41E-07
63	3,30E-06	4,10E-06	3,67E-06	1,80E-07
79	5,00E-06	6,00E-06	5,50E-06	2,41E-07
100	7,70E-06	9,10E-06	8,39E-06	3,33E-07
126	1,17E-05	1,36E-05	1,26E-05	4,50E-07
158	1,77E-05	2,03E-05	1,89E-05	6,09E-07
200	2,69E-05	3,05E-05	2,85E-05	8,20E-07
251	4,01E-05	4,59E-05	4,24E-05	1,18E-06
316	6,04E-05	6,70E-05	6,36E-05	1,49E-06
398	9,15E-05	1,00E-04	9,53E-05	1,92E-06
501	1,39E-04	1,50E-04	1,44E-04	2,56E-06
631	2,11E-04	2,57E-04	2,18E-04	5,46E-06
794	3,21E-04	3,91E-04	3,33E-04	9,95E-06
1000	4,95E-04	5,80E-04	5,13E-04	1,78E-05
1259	7,69E-04	8,59E-04	8,03E-04	2,16E-05
1585	1,20E-03	1,33E-03	1,24E-03	2,96E-05
1995	1,89E-03	2,04E-03	1,95E-03	3,69E-05
2512	3,02E-03	3,23E-03	3,11E-03	4,98E-05
3162	4,92E-03	5,33E-03	5,03E-03	7,38E-05
3981	8,25E-03	8,71E-03	8,42E-03	9,73E-05
5012	1,41E-02	1,52E-02	1,44E-02	2,05E-04
6310	2,46E-02	2,80E-02	2,51E-02	3,82E-04
7943	4,28E-02	4,55E-02	4,37E-02	5,27E-04
10000	7,39E-02	7,71E-02	7,51E-02	6,58E-04
12589	1,26E-01	1,72E-01	1,28E-01	3,24E-03
#-------	---------	--------- -	-------- --	-------
				
				
insertion_sort				
 n	min time	max time	avg time	std dev
#-------	---------	--------- -	-------- --	-------
10	0,00E+00	1,00E-07	9,47E-08	2,24E-08
13	1,00E-07	2,00E-07	1,14E-07	3,50E-08
16	1,00E-07	2,00E-07	1,66E-07	4,73E-08
20	2,00E-07	3,00E-07	2,06E-07	2,30E-08
25	2,00E-07	3,00E-07	2,75E-07	4,32E-08
32	3,00E-07	4,00E-07	3,80E-07	4,00E-08
40	4,00E-07	6,00E-07	5,13E-07	3,55E-08
50	6,00E-07	8,00E-07	7,07E-07	4,79E-08
63	9,00E-07	1,10E-06	9,93E-07	5,47E-08
79	1,30E-06	1,50E-06	1,42E-06	6,48E-08
100	1,90E-06	2,20E-06	2,07E-06	8,45E-08
126	2,80E-06	3,20E-06	3,03E-06	1,07E-07
158	4,10E-06	4,70E-06	4,43E-06	1,37E-07
200	6,30E-06	7,10E-06	6,66E-06	1,94E-07
251	9,40E-06	1,06E-05	9,94E-06	2,77E-07
316	1,43E-05	1,59E-05	1,51E-05	3,72E-07
398	2,19E-05	2,45E-05	2,30E-05	5,73E-07
501	3,38E-05	3,69E-05	3,53E-05	7,48E-07
631	5,25E-05	5,73E-05	5,46E-05	1,09E-06
794	8,13E-05	8,86E-05	8,46E-05	1,64E-06
1000	1,27E-04	1,37E-04	1,31E-04	2,31E-06
1259	1,99E-04	2,42E-04	2,07E-04	5,59E-06
1585	3,13E-04	3,78E-04	3,24E-04	9,74E-06
1995	4,92E-04	5,67E-04	5,09E-04	1,53E-05
2512	7,77E-04	8,62E-04	8,02E-04	1,98E-05
3162	1,23E-03	1,32E-03	1,26E-03	2,14E-05
3981	1,94E-03	2,08E-03	2,00E-03	3,60E-05
5012	3,08E-03	3,29E-03	3,16E-03	5,16E-05
