#	data	for MAX_MESSAGE_SIZE equal	to 1000	0							
#	data	for N_OUTLIERS equal to 20									
#	data	for N_VALID equal to 80									
#											
#		number of calls per messag	e symbol		lookahe	ad sy	mbols	max	cons	idera	tions
#		---------------------------	--------	----	-------	-----	-----	---	-----	-----	-----
#	ns	min      avg      med	max	min	avg	med	max	min	avg	med	max
#-	--	-------- -------- --------	--------	----	------	----	----	---	----	----	----
	3	0.000    0.000    0.000	0	-1	-1	-1	-1	2	2	2	2
	4	0.000    0.000    0.000	0	-1	-1	-1	-1	3	3	3	3
	5	0.000    0.000    0.000	0	-1	-1	-1	-1	4	4	4	4
	6	0.000    0.000    0.000	0	-1	-1	-1	-1	5	5	5	5
	7	0.000    0.000    0.000	0	-1	-1	-1	-1	6	6	6	6
	8	0.000    0.000    0.000	0	-1	-1	-1	-1	7	7	7	7
	9	0.000    0.000    0.000	0	-1	-1	-1	-1	8	8	8	8
	10	0.000    0.000    0.000	0	-1	-1	-1	-1	9	9	9	9
	11	0.000    0.000    0.000	0	-1	-1	-1	-1	10	10	10	10
	12	0.000    0.000    0.000	0	-1	-1	-1	-1	11	11	11	11
	13	0.000    0.000    0.000	0	-1	-1	-1	-1	12	12	12	12
	14	0.000    0.000    0.000	0	-1	-1	-1	-1	13	13	13	13
	15	0.000    0.000    0.000	0	-1	-1	-1	-1	14	14	14	14
	16	0.000    0.000    0.000	0	-1	-1	-1	-1	15	15	15	15
	17	0.000    0.000    0.000	0	-1	-1	-1	-1	16	16	16	16
	18	0.000    0.000    0.000	0	-1	-1	-1	-1	17	17	17	17
	19	0.000    0.000    0.000	0	-1	-1	-1	-1	18	18	18	18
	20	0.000    0.000    0.000	0	-1	-1	-1	-1	19	19	19	19
	21	0.000    0.000    0.000	0	-1	-1	-1	-1	20	20	20	20
	22	0.000    0.000    0.000	0	-1	-1	-1	-1	21	21	21	21
	23	0.000    0.000    0.000	0	-1	-1	-1	-1	22	22	22	22
	24	0.000    0.000    0.000	0	-1	-1	-1	-1	23	23	23	23
	25	0.000    0.000    0.000	0	-1	-1	-1	-1	24	24	24	24
	26	0.000    0.000    0.000	0	-1	-1	-1	-1	25	25	25	25
	27	0.000    0.000    0.000	0	-1	-1	-1	-1	26	26	26	26
	28	0.000    0.000    0.000	0	-1	-1	-1	-1	27	27	27	27
	29	0.000    0.000    0.000	0	-1	-1	-1	-1	28	28	28	28
	30	0.000    0.000    0.000	0	-1	-1	-1	-1	29	29	29	29
	31	0.000    0.000    0.000	0	-1	-1	-1	-1	30	30	30	30
	32	0.000    0.000    0.000	0	-1	-1	-1	-1	31	31	31	31
	33	0.000    0.000    0.000	0	-1	-1	-1	-1	32	32	32	32
	34	0.000    0.000    0.000	0	-1	-1	-1	-1	33	33	33	33
	35	0.000    0.000    0.000	0	-1	-1	-1	-1	34	34	34	34
	36	0.000    0.000    0.000	0	-1	-1	-1	-1	35	35	35	35
	37	0.000    0.000    0.000	0	-1	-1	-1	-1	36	36	36	36
	38	0.000    0.000    0.000	0	-1	-1	-1	-1	37	37	37	37
	39	0.000    0.000    0.000	0	-1	-1	-1	-1	38	38	38	38
	40	0.000    0.000    0.000	0	-1	-1	-1	-1	39	39	39	39
	41	0.000    0.000    0.000	0	-1	-1	-1	-1	40	40	40	40
	42	0.000    0.000    0.000	0	-1	-1	-1	-1	41	41	41	41
	43	0.000    0.000    0.000	0	-1	-1	-1	-1	42	42	42	42
	44	0.000    0.000    0.000	0	-1	-1	-1	-1	43	43	43	43
	45	0.000    0.000    0.000	0	-1	-1	-1	-1	44	44	44	44
	46	0.000    0.000    0.000	0	-1	-1	-1	-1	45	45	45	45
	47	0.000    0.000    0.000	0	-1	-1	-1	-1	46	46	46	46
	48	0.000    0.000    0.000	0	-1	-1	-1	-1	47	47	47	47
	49	0.000    0.000    0.000	0	-1	-1	-1	-1	48	48	48	48
	50	0.000    0.000    0.000	0	-1	-1	-1	-1	49	49	49	49
	51	0.000    0.000    0.000	0	-1	-1	-1	-1	50	50	50	50
	52	0.000    0.000    0.000	0	-1	-1	-1	-1	51	51	51	51
	53	0.000    0.000    0.000	0	-1	-1	-1	-1	52	52	52	52
	54	0.000    0.000    0.000	0	-1	-1	-1	-1	53	53	53	53
	55	0.000    0.000    0.000	0	-1	-1	-1	-1	54	54	54	54
	56	0.000    0.000    0.000	0	-1	-1	-1	-1	55	55	55	55
	57	0.000    0.000    0.000	0	-1	-1	-1	-1	56	56	56	56
	58	0.000    0.000    0.000	0	-1	-1	-1	-1	57	57	57	57
	59	0.000    0.000    0.000	0	-1	-1	-1	-1	58	58	58	58
	60	0.000    0.000    0.000	0	-1	-1	-1	-1	59	59	59	59
	61	0.000    0.000    0.000	0	-1	-1	-1	-1	60	60	60	60
	62	0.000    0.000    0.000	0	-1	-1	-1	-1	61	61	61	61
	63	0.000    0.000    0.000	0	-1	-1	-1	-1	62	62	62	62
	64	0.000    0.000    0.000	0	-1	-1	-1	-1	63	63	63	63
	65	0.000    0.000    0.000	0	-1	-1	-1	-1	64	64	64	64
	66	0.000    0.000    0.000	0	-1	-1	-1	-1	65	65	65	65
	67	0.000    0.000    0.000	0	-1	-1	-1	-1	66	66	66	66
	68	0.000    0.000    0.000	0	-1	-1	-1	-1	67	67	67	67
	69	0.000    0.000    0.000	0	-1	-1	-1	-1	68	68	68	68
	70	0.000    0.000    0.000	0	-1	-1	-1	-1	69	69	69	69
	71	0.000    0.000    0.000	0	-1	-1	-1	-1	70	70	70	70
	72	0.000    0.000    0.000	0	-1	-1	-1	-1	71	71	71	71
	73	0.000    0.000    0.000	0	-1	-1	-1	-1	72	72	72	72
	74	0.000    0.000    0.000	0	-1	-1	-1	-1	73	73	73	73
	75	0.000    0.000    0.000	0	-1	-1	-1	-1	74	74	74	74
	76	0.000    0.000    0.000	0	-1	-1	-1	-1	75	75	75	75
	77	0.000    0.000    0.000	0	-1	-1	-1	-1	76	76	76	76
	78	0.000    0.000    0.000	0	-1	-1	-1	-1	77	77	77	77
	79	0.000    0.000    0.000	0	-1	-1	-1	-1	78	78	78	78
	80	0.000    0.000    0.000	0	-1	-1	-1	-1	79	79	79	79
	81	0.000    0.000    0.000	0	-1	-1	-1	-1	80	80	80	80
	82	0.000    0.000    0.000	0	-1	-1	-1	-1	81	81	81	81
	83	0.000    0.000    0.000	0	-1	-1	-1	-1	82	82	82	82
