data	for	MAX_MESSAGE_SIZE	equal	to	100000			
data	for	N_OUTLIERS	equal	to	20			
data	for	N_VALID	equal	to	80			
								
number	of	calls	per	message	symbol	lookahead	symbols	
-----------------------------------	---------------------							
ns	min	avg	med	max	min	avg	med	max
--------	--------	--------	--------	----	------	----	----	
3	1,1	1,501	1,516	1,66	2	8,1	8	16
4	1	1,624	1,756	1,999	0	16,1	8	140
5	1,367	2,172	2,201	2,362	3	30,7	15	234
6	1,695	2,41	2,41	2,62	3	36,9	32	501
7	1,239	2,613	2,629	2,83	3	38,3	32	138
8	1	2,799	2,801	2,999	0	39,6	32	228
9	2,493	2,973	2,986	3,176	11	48,4	45	746
10	2,585	3,118	3,122	3,318	12	56,6	54	1238
11	2,845	3,251	3,254	3,462	12	60,1	57	314
12	3,011	3,373	3,371	3,59	19	60,8	58	218
13	3,182	3,486	3,481	3,709	16	61	56	248
14	3,267	3,589	3,588	3,801	15	56	55	169
15	3,363	3,688	3,685	3,9	17	52,4	50	181
16	3,43	3,784	3,784	3,988	23	52,2	51	201
17	3,552	3,87	3,871	4,069	23	55,5	53	178
18	3,645	3,952	3,959	4,145	18	58,6	54	386
19	2,067	4,029	4,04	4,235	26	61,5	61	439
20	3,808	4,103	4,11	4,314	26	65,7	61	262
21	3,901	4,171	4,178	4,384	21	73,8	69	179
22	3,986	4,236	4,242	4,439	25	81,5	77	481
23	4,079	4,297	4,304	4,488	26	79,8	79	211
24	4,153	4,354	4,357	4,526	36	81,4	80	165
25	4,233	4,411	4,416	4,585	24	79,6	79	155
26	4,289	4,467	4,468	4,63	29	78,9	77	166
27	4,346	4,522	4,525	4,686	40	77	74	183
28	4,411	4,575	4,577	4,74	31	74,8	74	146
29	4,441	4,626	4,631	4,8	39	73,7	71	182
30	4,487	4,676	4,68	4,849	42	73,4	72	162
31	4,527	4,723	4,728	4,896	40	74,1	73	163
32	4,577	4,77	4,772	4,936	36	73,4	71	133
33	4,618	4,815	4,818	4,986	46	73,1	71	177
34	4,679	4,86	4,865	5,028	31	71,7	70	194
35	4,72	4,903	4,908	5,071	35	73,1	71	163
36	4,762	4,944	4,951	5,108	42	76,2	76	213
37	4,809	4,984	4,988	5,142	36	80,5	78	174
38	4,856	5,024	5,027	5,181	38	80,5	80	211
39	4,908	5,062	5,068	5,215	41	83,3	82	361
40	4,927	5,098	5,104	5,251	41	84,4	82	195
41	4,963	5,132	5,137	5,276	45	88,3	84	227
42	4,998	5,166	5,17	5,296	40	91,9	88	224
43	5,035	5,199	5,204	5,318	47	96,6	94	209
44	5,074	5,232	5,236	5,352	46	100,4	98	219
45	5,092	5,263	5,266	5,392	55	103	101	214
46	5,134	5,294	5,296	5,416	53	105,1	104	202
47	5,18	5,324	5,328	5,454	47	108,4	108	183
48	5,214	5,353	5,353	5,488	55	106,8	106	202
49	5,24	5,381	5,384	5,516	45	105,8	105	210
50	5,262	5,408	5,406	5,548	56	104,7	102	172
51	5,301	5,436	5,435	5,576	50	104,6	103	160
52	5,314	5,464	5,462	5,613	67	102,5	102	192
53	5,322	5,49	5,491	5,635	59	99,8	98	176
54	5,346	5,517	5,519	5,656	64	100,1	100	177
55	5,369	5,543	5,547	5,674	57	98,5	98	150
56	5,397	5,57	5,572	5,706	60	97,2	97	167
57	5,428	5,595	5,595	5,723	62	95,6	96	153
58	5,463	5,622	5,622	5,747	63	94,1	92	163
59	5,494	5,647	5,647	5,773	62	93,4	93	150
60	5,521	5,671	5,672	5,797	58	95	94	159
61	5,549	5,696	5,697	5,816	60	95,9	95	165
62	5,577	5,72	5,721	5,835	62	93,8	93	161
63	5,605	5,745	5,747	5,848	62	91	90	145
64	5,633	5,768	5,77	5,874	56	91,8	91	147
65	5,664	5,791	5,791	5,896	60	92,5	91	171
66	5,685	5,814	5,813	5,917	62	92,2	90	157
67	5,704	5,836	5,837	5,939	55	92,5	92	180
68	5,722	5,859	5,861	5,963	48	93,8	93	176
69	5,749	5,879	5,878	5,982	60	92,6	92	165
70	5,773	5,901	5,9	5,996	63	95,2	94	162
71	5,799	5,922	5,921	6,016	63	94,9	93	196
72	5,825	5,944	5,942	6,037	64	94,8	94	176
